trace_id,event_type,project_or_entity_name,capacity_mw,county_or_region,before_after,from_snapshot_id,to_snapshot_id,source_file_hash_before,source_file_hash_after,source_url,confidence,materiality_score,is_hard_alert,is_ambiguous,explanation
chg_9ed8b909d261412c,target_cod_delayed,Escondido BESS,9.99,Maverick,"{""target_cod"": {""after"": ""2026-09-21"", ""before"": ""2026-06-11"", ""delta_days"": 102}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,49.9957,True,False,"Target COD moved later by 102 days, above the 90-day threshold."
chg_26a6e51d25b140ed,new_project,Kleimann BESS,9.9,Colorado,"{""after_project_name"": ""Kleimann BESS""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.9,49.9564,True,False,Project entity appears in the later snapshot without a non-ambiguous prior match.
chg_64775a9ffefa41bc,removed_project,Meridian BESS,31.23,Bosque,"{""before_project_name"": ""Meridian BESS""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,49.9457,True,False,"Project entity appears in the earlier snapshot but has no non-ambiguous later match; this is a removed/missing-from-later-snapshot signal, not automatic withdrawal evidence."
chg_98fb908857324167,removed_project,Hooper Storage,30.68,Lee,"{""before_project_name"": ""Hooper Storage""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,49.8686,True,False,"Project entity appears in the earlier snapshot but has no non-ambiguous later match; this is a removed/missing-from-later-snapshot signal, not automatic withdrawal evidence."
chg_bc390144d02c47ce,new_project,East Bernard BESS,9.5,Wharton,"{""after_project_name"": ""East Bernard BESS""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.9,49.7772,True,False,Project entity appears in the later snapshot without a non-ambiguous prior match.
chg_33e7b610f3e94988,new_project,Pledger BESS,9.5,Matagorda,"{""after_project_name"": ""Pledger BESS""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.9,49.7772,True,False,Project entity appears in the later snapshot without a non-ambiguous prior match.
chg_1734db22a8ed4a62,new_project,Hovey Solar 2,8.05,Pecos,"{""after_project_name"": ""Hovey Solar 2""}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.9,49.058,True,False,Project entity appears in the later snapshot without a non-ambiguous prior match.
chg_18394145ab214d0d,fuel_type_changed,Montezuma Storage,183.88,Colorado,"{""fuel_type"": {""after"": ""Battery"", ""before"": ""Other""}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.97,47.6453,True,False,Normalized fuel type changed for the same resolved project entity.
chg_d99f6318f7864638,fuel_type_changed,Kalina Storage,104.56,San Patricio,"{""fuel_type"": {""after"": ""Battery"", ""before"": ""Other""}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.93,45.1937,True,False,Normalized fuel type changed for the same resolved project entity.
chg_af1f8503770b45e5,completed_project,Radian Storage SLF,0.0,Brown,"{""status"": {""after"": ""Completed"", ""before"": ""Active""}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.93,45.0,True,False,Latest snapshot reports the project status as Completed.
